iter	Passed	Remaining
0	64	63950
1	64	32154
2	64	21537
3	65	16225
4	65	13042
5	65	10910
6	66	9393
7	66	8252
8	66	7369
9	67	6662
10	67	6081
11	68	5600
12	68	5193
13	68	4843
14	69	4544
15	69	4279
16	69	4046
17	70	3842
18	70	3656
19	71	3488
20	71	3337
21	71	3199
22	72	3072
23	72	2954
24	73	2847
25	73	2748
26	73	2659
27	74	2575
28	74	2497
29	74	2423
30	75	2355
31	75	2290
32	76	2231
33	76	2175
34	77	2124
35	77	2075
36	77	2028
37	78	1983
38	78	1939
39	79	1897
40	79	1857
41	79	1819
42	80	1783
43	80	1748
44	80	1715
45	81	1683
46	81	1652
47	81	1623
48	82	1595
49	82	1569
50	82	1543
51	83	1519
52	83	1496
53	84	1473
54	84	1451
55	84	1429
56	85	1408
57	85	1388
58	85	1368
59	86	1349
60	86	1330
61	86	1313
62	87	1296
63	87	1279
64	87	1263
65	88	1248
66	88	1232
67	88	1215
68	89	1201
69	89	1187
70	89	1174
71	90	1160
72	90	1148
73	90	1135
74	91	1123
75	91	1112
76	91	1100
77	92	1089
78	92	1078
79	92	1067
80	93	1057
81	93	1047
82	93	1037
83	94	1027
84	94	1016
85	94	1007
86	94	996
87	95	987
88	95	978
89	96	970
90	96	962
91	96	953
92	96	945
93	97	938
94	97	930
95	98	923
96	98	916
97	98	909
98	99	902
99	99	895
100	99	888
101	99	880
102	100	873
103	100	867
104	101	861
105	101	855
106	101	849
107	102	843
108	102	837
109	102	831
110	103	826
111	103	820
112	103	814
113	104	809
114	104	803
115	104	797
116	105	792
117	105	787
118	105	782
119	105	777
120	106	772
121	106	767
122	106	761
123	107	757
124	107	753
125	107	748
126	108	743
127	108	738
128	108	734
129	109	730
130	109	726
131	109	722
132	110	718
133	110	714
134	110	710
135	111	706
136	111	702
137	111	698
138	112	694
139	112	691
140	112	687
141	113	683
142	113	680
143	113	676
144	114	673
145	114	670
146	114	667
147	115	663
148	115	660
149	115	657
150	116	653
151	116	650
152	116	647
153	117	644
154	117	641
155	117	638
156	118	635
157	118	632
158	119	629
159	119	626
160	119	624
161	120	621
162	120	618
163	120	615
164	121	613
165	121	610
166	121	607
167	122	605
168	122	602
169	122	599
170	123	597
171	123	594
172	123	592
173	124	589
174	124	587
175	124	584
176	125	582
177	125	579
178	125	577
179	126	574
180	126	571
181	126	569
182	127	567
183	127	564
184	127	562
185	128	560
186	128	558
187	128	556
188	129	554
189	129	552
190	129	550
191	130	548
192	130	546
193	130	544
194	131	541
195	131	539
196	131	537
197	132	535
198	132	534
199	133	532
200	133	530
201	133	528
202	134	526
203	134	524
204	134	522
205	135	520
206	135	518
207	135	516
208	136	515
209	136	513
210	136	511
211	137	509
212	137	508
213	137	506
214	138	504
215	138	502
216	138	500
217	139	498
218	139	496
219	139	494
220	139	493
221	140	491
222	140	489
223	140	487
224	140	485
225	141	483
226	141	482
227	141	480
228	142	478
229	142	476
230	142	475
231	142	473
232	143	471
233	143	470
234	143	468
235	144	466
236	144	465
237	144	463
238	145	461
239	145	460
240	145	458
241	145	457
242	146	455
243	146	453
244	146	452
245	147	450
246	147	449
247	147	447
248	147	446
249	148	444
250	148	442
251	148	441
252	148	439
253	149	438
254	149	436
255	149	435
256	150	434
257	150	432
258	150	431
259	151	429
260	151	428
261	151	426
262	151	425
263	152	424
264	152	422
265	152	421
266	153	420
267	153	418
268	153	417
269	153	416
270	154	414
271	154	413
272	154	412
273	155	410
274	155	409
275	155	408
276	155	406
277	156	405
278	156	404
279	156	402
280	156	401
281	157	400
282	157	399
283	157	397
284	158	396
285	158	395
286	158	394
287	158	393
288	159	391
289	159	390
290	159	389
291	160	388
292	160	387
293	160	386
294	161	384
295	161	383
296	161	382
297	161	381
298	162	380
299	162	379
300	162	378
301	163	376
302	163	375
303	163	374
304	163	373
305	164	372
306	164	371
307	164	370
308	165	369
309	165	368
310	165	367
311	166	366
312	166	365
313	166	364
314	166	362
315	167	361
316	167	360
317	167	359
318	168	358
319	168	357
320	168	356
321	168	355
322	169	354
323	169	353
324	169	352
325	170	351
326	170	350
327	170	349
328	170	348
329	171	347
330	171	346
331	171	345
332	172	344
333	172	343
334	172	342
335	172	341
336	173	340
337	173	339
338	173	338
339	174	337
340	174	337
341	174	336
342	174	335
343	175	334
344	175	333
345	175	332
346	176	331
347	176	330
348	176	329
349	176	328
350	177	327
351	177	326
352	177	325
353	178	324
354	178	324
355	178	323
356	178	322
357	179	321
358	179	320
359	179	319
360	180	318
361	180	317
362	180	317
363	180	316
364	181	315
365	181	314
366	181	313
367	182	312
368	182	311
369	182	311
370	182	310
371	183	309
372	183	308
373	183	307
374	184	306
375	184	306
376	184	305
377	184	304
378	185	303
379	185	302
380	185	301
381	186	301
382	186	300
383	186	299
384	186	298
385	187	297
386	187	296
387	187	296
388	188	295
389	188	294
390	188	293
391	188	292
392	189	292
393	189	291
394	189	290
395	190	289
396	190	289
397	190	288
398	190	287
399	191	286
400	191	285
401	191	285
402	191	284
403	192	283
404	192	282
405	192	282
406	193	281
407	193	280
408	193	279
409	194	279
410	194	278
411	194	277
412	194	276
413	195	276
414	195	275
415	195	274
416	195	274
417	196	273
418	196	272
419	196	271
420	197	271
421	197	270
422	197	269
423	197	268
424	198	268
425	198	267
426	198	266
427	199	266
428	199	265
429	199	264
430	199	263
431	200	263
432	200	262
433	200	261
434	201	261
435	201	260
436	201	259
437	201	259
438	202	258
439	202	257
440	202	257
441	203	256
442	203	255
443	203	255
444	204	254
445	204	253
446	204	253
447	204	252
448	205	251
449	205	251
450	205	250
451	206	249
452	206	249
453	206	248
454	206	247
455	207	247
456	207	246
457	207	245
458	208	245
459	208	244
460	208	244
461	208	243
462	209	242
463	209	242
464	209	241
465	210	240
466	210	240
467	210	239
468	211	238
469	211	238
470	211	237
471	211	237
472	212	236
473	212	235
474	212	235
475	213	234
476	213	233
477	213	233
478	213	232
479	214	232
480	214	231
481	214	230
482	215	230
483	215	229
484	215	228
485	215	228
486	216	227
487	216	227
488	216	226
489	217	225
490	217	225
491	217	224
492	217	224
493	218	223
494	218	222
495	218	222
496	219	221
497	219	221
498	219	220
499	219	219
500	220	219
501	220	218
502	220	218
503	220	217
504	221	216
505	221	216
506	221	215
507	222	215
508	222	214
509	222	213
510	222	213
511	223	212
512	223	212
513	223	211
514	224	211
515	224	210
516	224	210
517	225	209
518	225	208
519	225	208
520	225	207
521	226	207
522	226	206
523	226	206
524	227	205
525	227	204
526	227	204
527	227	203
528	228	203
529	228	202
530	228	202
531	229	201
532	229	200
533	229	200
534	229	199
535	230	199
536	230	198
537	230	198
538	231	197
539	231	197
540	231	196
541	231	195
542	232	195
543	232	194
544	232	194
